strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Sugar Bomb Punch,https://herbiesheadshop.com/cannabis-seeds/sugar-bomb-punch,html/3a4226e159cde4cf.html,Dutch Passion
Northern Lights Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/northern-lights-herbies-seeds,html/3a4e758229b6cb7f.html,Herbies Seeds
Bubblegum Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/bubblegum-herbies-seeds-usa,html/3a521941dda98db2.html,Herbies Seeds
Purple Haze Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/purple-haze-herbies-seeds-usa,html/3a5615469583bc60.html,Herbies Seeds
Ice Cream Cake Auto Growers Choice,https://herbiesheadshop.com/cannabis-seeds/ice-cream-cake-auto-growers-choice,html/3c414e21f030b549.html,Growers Choice
Banana Krumble Ghs,https://herbiesheadshop.com/cannabis-seeds/banana-krumble-ghs,html/3c5f55e4d01c4f29.html,Green House Seeds
Amnesia Z Auto Fastbuds,https://herbiesheadshop.com/cannabis-seeds/amnesia-z-auto-fastbuds,html/3c7addae3d3cba7c.html,Fast Buds
Cream Cookies Auto,https://herbiesheadshop.com/cannabis-seeds/cream-cookies-auto,html/3c841512fa3bbb45.html,Fast Buds
Mikromachine Auto,https://herbiesheadshop.com/cannabis-seeds/mikromachine-auto,html/3f0eaf6685f9a9de.html,Kannabia Seeds
Super Lemon Haze Auto,https://herbiesheadshop.com/cannabis-seeds/super-lemon-haze-auto,html/3f31b70286aeaf5d.html,Green House Seeds
Purple Punch Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/purple-punch-auto-herbies-seeds-usa,html/3fb096f36d406b0a.html,Herbies Seeds
Sith Og,https://herbiesheadshop.com/cannabis-seeds/sith-og,html/3fb2e3e9f463528b.html,AlphaFem Seeds
Gorilla Purple Autoflower,https://herbiesheadshop.com/cannabis-seeds/gorilla-purple-autoflower,html/3fcee06096d44b5c.html,EGS
Amnesia Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/amnesia-herbies-seeds-usa,html/3fffb98e4c5f9b51.html,Herbies Seeds
Lsd Auto,https://herbiesheadshop.com/cannabis-seeds/lsd-auto,html/40a6e3c2ff5672ca.html,Barney's Farm
Girl Scout Cookies Fast Version,https://herbiesheadshop.com/cannabis-seeds/girl-scout-cookies-fast-version,html/40adca3b16e4c65c.html,EGS
Train Wreck Green House Seeds,https://herbiesheadshop.com/cannabis-seeds/train-wreck-green-house-seeds,html/41872e00c2244bb6.html,Green House Seeds
Blueberry Og Alphafem Seeds,https://herbiesheadshop.com/cannabis-seeds/blueberry-og-alphafem-seeds,html/41d8cc2ee6da02a4.html,AlphaFem Seeds
Keep Frosted Guava Autoflower,https://herbiesheadshop.com/cannabis-seeds/keep-frosted-guava-autoflower,html/425576ccc708e23f.html,Seedkeepers
Mazar,https://herbiesheadshop.com/cannabis-seeds/mazar,html/427c5eaa24adef44.html,Dutch Passion
Z Up Auto Fast Buds,https://herbiesheadshop.com/cannabis-seeds/z-up-auto-fast-buds,html/427f956f58a418c2.html,Fast Buds
Zoap Growers Choice,https://herbiesheadshop.com/cannabis-seeds/zoap-growers-choice,html/439bf23b6b9e47d5.html,Growers Choice
Super Silver Haze,https://herbiesheadshop.com/cannabis-seeds/super-silver-haze,html/43a99c8241708e21.html,Green House Seeds
Ak Triple Haze Auto Super Sativa Seed Club,https://herbiesheadshop.com/cannabis-seeds/ak-triple-haze-auto-super-sativa-seed-club,html/43e70b2ea7980389.html,Super Sativa Seed Club
Acapulco Gold Growers Choice,https://herbiesheadshop.com/cannabis-seeds/acapulco-gold-growers-choice,html/43f6cffcda303df1.html,Growers Choice
Amnesia Lemon,https://herbiesheadshop.com/cannabis-seeds/amnesia-lemon,html/43fa5d6eb0c02de1.html,Barney's Farm
Cookies Gelato,https://herbiesheadshop.com/cannabis-seeds/cookies-gelato,html/447904d6d449738e.html,Royal Queen Seeds
White Russian Growers Choice,https://herbiesheadshop.com/cannabis-seeds/white-russian-growers-choice,html/447eba497feb0711.html,Growers Choice
Green Crack Fast Version Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/green-crack-fast-version-herbies-seeds-usa,html/457b952dd6fa38ee.html,Herbies Seeds
G13 Haze,https://herbiesheadshop.com/cannabis-seeds/g13-haze,html/45a1e8d077282668.html,Barney's Farm
Trainwreck Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/trainwreck-barneys-farm,html/461916516e948d72.html,Barney's Farm
Lemon Haze Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/lemon-haze-auto-herbies-seeds-usa,html/461de0c99f5e9bc6.html,Herbies Seeds
Lemon Skunk Green House Seeds,https://herbiesheadshop.com/cannabis-seeds/lemon-skunk-green-house-seeds,html/4693c3d8435f92db.html,Green House Seeds
Critical Amnesia,https://herbiesheadshop.com/cannabis-seeds/critical-amnesia,html/4739579885343e9d.html,AlphaFem Seeds
Afgooey Ghs,https://herbiesheadshop.com/cannabis-seeds/afgooey-ghs,html/4754561ed668bb3b.html,Green House Seeds
